location_id,location_name,lat,lon,geo_source
b86cafa4-79b2-4c30-8215-918bee24f61e,Macy's State St.,41.8838623,-87.6270594,nominatim
b27be0cb-8774-401b-9aaa-2d5c1fda212d,Maggie Daley Park,41.8827266,-87.6187299,nominatim
5e3ec46b-496d-4536-b068-465aa2f01853,Mario's Italian Lemonade,41.8695748,-87.6537263,nominatim
fc388afa-ccbe-434a-a0a8-a19f2bd80d40,Marriott,41.8919952,-87.6248664,manual+firecrawl
f3aeb2ff-0404-4bb7-a9a8-037146b9726b,Marriott Marquis,41.8536541,-87.6202477,nominatim
4794a41b-886c-41e5-b298-63d0db8c936c,McCormick Place,41.851689,-87.6164754,nominatim
64b4a648-f762-4fa8-9967-3e9b9627f5b3,McDonald's,41.8928566,-87.6315646,nominatim
a504677e-8562-4ce1-af83-e0bf6c4a4112,Merchandise Mart,41.8885435,-87.6353813,nominatim
38d22200-3acd-46b2-8dfa-c345796faabe,Midland Hotel,41.8797981,-87.6331433,nominatim
a63cda67-4022-422d-98a5-26090e93a8fe,Millennium Hall,41.8826848,-87.6235979,firecrawl+nominatim
500cbafd-8445-4653-8040-b1b454a4b1d3,Millennium Knickerbocker,41.8997836,-87.6227266,nominatim
1eb0d402-8f19-46df-90f8-0b1c953cfa88,Millennium Park,41.8825754,-87.6225361,nominatim
eb682cb2-0b92-4134-8a6a-330f7501203d,Milton Lee Olive Park,41.8942225,-87.6103414,nominatim
23009197-97af-46e0-ab84-86de5152ec48,Mindworks: The Science of Thinking,41.8785605,-87.6250486,firecrawl+nominatim
86830244-2faa-4ba2-a215-4b79b6e0d81e,Moe's Cantina - River North,41.8890572,-87.6332026,nominatim
d5ce36a8-2b44-42c5-ae84-ddabab2228ec,Moe's Cantina - River North,41.8890572,-87.6332026,nominatim
b7bb46e5-edda-4ca6-9c29-c06644601edb,Monteverde Restaurant & Pastificio,41.881958,-87.6530228,nominatim
c22148d9-acd8-4dd8-9d44-e32b3f7bcee0,Moxy,41.891847,-87.6329821,nominatim
3a867f33-9c48-45e8-acb7-a5c95102a32a,Muddy Waters,41.8351934,-87.6169142,nominatim
fee6875f-c61c-4d9f-a828-73e3446a3a6c,Museum of Broadcast Communications,41.8846038,-87.6393207,nominatim
27755721-8818-411e-83f3-80797b4cb084,Museum of Contemporary Art,41.8972217,-87.6211234,nominatim
3f423ab0-764c-495c-ab5d-f3b1ab3011c5,Museum of Contemporary Photography,41.8742073,-87.6245139,nominatim
791cac93-cc0f-4860-a7be-73a1d128683e,Museum of Illusions,41.8830605,-87.626843,nominatim
650999f0-df5c-464b-872c-7614deae2905,Nancy's Pizza West Loop,41.8456025,-87.6339433,firecrawl+nominatim
ad80bfc5-a050-4c70-a66d-08433c54aa23,National Hellenic Museum,41.8769073,-87.6468974,nominatim
bf8c06e2-409f-499a-8a4c-ada9fc01960c,National Museum of Mexican Art,41.8561139,-87.6729812,nominatim
44084bc7-1d6b-4c96-9c5c-cb49ed36427f,Navy Pier,41.8917999,-87.6041447,nominatim
04481351-3fde-49f7-b0ea-88c8cc71fe46,Nederlander Theatre,41.8849527,-87.6288687,nominatim
0d3f9129-9ece-4786-958a-18f45365dea5,Neiman-Marcus,41.8960201,-87.6239243,nominatim
9200c01b-a9aa-446f-b67b-ac7b9a743639,Nike,41.894443,-87.6238972,nominatim
bf592b8a-d87d-4dc2-a4a0-d4c45a7ac6a4,Nobu Hotel Chicago,41.8846791,-87.6494793,nominatim
72384069-0f15-4a7b-9c0a-fb47c2804458,Nordstrom,41.8912793,-87.6260497,nominatim
b9e02a40-1389-431c-bc6c-ead789abf090,Nordstrom Rack,41.8685609,-87.639745,nominatim
d65176b1-8e20-4458-b462-049875cde51f,Northman Beer & Cider Garden,41.8882656,-87.621614,nominatim
c145a4a6-0a9c-4bce-9c0e-6e221e0563b8,Oak St. Beach,41.9029752,-87.622878,nominatim
