config,ndcg,sim,popularity,item_collab,user_collab,trending,session
random,0.225486,0.037,0.027,0.108,0.781,0.037,0.01
random,0.225484,0.184,0.065,0.009,0.613,0.113,0.016
random,0.225477,0.248,0.375,0.016,0.086,0.035,0.239
random,0.225462,0.254,0.294,0.061,0.176,0.047,0.167
random,0.225449,0.194,0.304,0.076,0.228,0.041,0.157
random,0.225449,0.257,0.075,0.022,0.476,0.137,0.034
random,0.225428,0.252,0.015,0.066,0.366,0.113,0.188
random,0.225416,0.063,0.121,0.001,0.79,0.003,0.021
random,0.225372,0.181,0.291,0.105,0.242,0.028,0.152
random,0.225336,0.238,0.048,0.074,0.464,0.002,0.175
random,0.225328,0.157,0.068,0.008,0.628,0.125,0.015
random,0.225319,0.366,0.061,0.113,0.278,0.077,0.105
random,0.225309,0.456,0.016,0.049,0.185,0.136,0.158
random,0.225284,0.323,0.331,0.197,0.014,0.135,0.001
random,0.225263,0.16,0.478,0.214,0.118,0.029,0.001
random,0.22526,0.336,0.19,0.069,0.108,0.135,0.162
random,0.225255,0.311,0.163,0.208,0.157,0.125,0.036
random,0.225228,0.357,0.321,0.035,0.045,0.191,0.05
random,0.225199,0.13,0.068,0.079,0.476,0.11,0.137
random,0.225168,0.314,0.389,0.247,0.015,0.001,0.034
random,0.22513,0.684,0.005,0.057,0.181,0.067,0.005
random,0.225124,0.208,0.371,0.114,0.066,0.188,0.053
random,0.225115,0.484,0.206,0.013,0.027,0.101,0.167
random,0.225057,0.262,0.381,0.028,0.031,0.203,0.094
random,0.225045,0.64,0.009,0.002,0.277,0.071,0.002
random,0.225008,0.778,0.115,0.021,0.051,0.0,0.035
random,0.224975,0.546,0.275,0.046,0.015,0.025,0.094
random,0.224962,0.281,0.001,0.093,0.304,0.197,0.123
random,0.224946,0.344,0.094,0.008,0.327,0.041,0.186
random,0.224906,0.227,0.109,0.085,0.278,0.124,0.177
random,0.224883,0.089,0.12,0.159,0.558,0.046,0.028
random,0.224826,0.391,0.354,0.071,0.013,0.002,0.17
random,0.224812,0.347,0.387,0.19,0.003,0.004,0.069
random,0.224761,0.43,0.079,0.212,0.232,0.001,0.046
random,0.224756,0.177,0.533,0.09,0.044,0.028,0.127
random,0.224752,0.441,0.061,0.37,0.07,0.001,0.057
random,0.224749,0.378,0.334,0.141,0.025,0.05,0.072
random,0.224727,0.275,0.028,0.015,0.326,0.146,0.211
random,0.224602,0.111,0.136,0.158,0.455,0.073,0.067
random,0.224532,0.175,0.375,0.248,0.191,0.007,0.004
random,0.224524,0.296,0.099,0.045,0.275,0.082,0.203
random,0.224516,0.553,0.191,0.066,0.181,0.003,0.007
random,0.224488,0.292,0.101,0.002,0.474,0.118,0.013
random,0.224484,0.292,0.033,0.234,0.324,0.021,0.096
random,0.224444,0.434,0.089,0.161,0.173,0.089,0.054
random,0.224374,0.267,0.019,0.036,0.367,0.089,0.222
random,0.22434,0.501,0.268,0.005,0.027,0.189,0.009
